STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,,PRCP1,months
IN023320100,01-01-1901,26.47,80.35,185,"KANPUR, IN",53,",,I",,53,1
IN023320100,02-01-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,03-01-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,04-01-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,05-01-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,06-01-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,07-01-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,08-01-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,09-01-1901,26.47,80.35,185,"KANPUR, IN",109,",,I",,109,1
IN023320100,10-01-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,11-01-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,12-01-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,13-01-1901,26.47,80.35,185,"KANPUR, IN",13,",,I",,13,1
IN023320100,14-01-1901,26.47,80.35,185,"KANPUR, IN",56,",,I",,56,1
IN023320100,15-01-1901,26.47,80.35,185,"KANPUR, IN",33,",,I",,33,1
IN023320100,16-01-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,17-01-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,18-01-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,19-01-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,20-01-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,21-01-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,22-01-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,23-01-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,24-01-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,25-01-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,26-01-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,27-01-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,28-01-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,29-01-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,30-01-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,31-01-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,01-02-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,02-02-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,03-02-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,04-02-1901,26.47,80.35,185,"KANPUR, IN",25,",,I",,0,1
IN023320100,05-02-1901,26.47,80.35,185,"KANPUR, IN",102,",,I",,0,1
IN023320100,06-02-1901,26.47,80.35,185,"KANPUR, IN",33,",,I",,0,1
IN023320100,07-02-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,08-02-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,09-02-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,10-02-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,11-02-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,12-02-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,13-02-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,14-02-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,15-02-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,16-02-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,17-02-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,18-02-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,19-02-1901,26.47,80.35,185,"KANPUR, IN",234,",,I",,0,1
IN023320100,20-02-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,21-02-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,22-02-1901,26.47,80.35,185,"KANPUR, IN",38,",,I",,0,1
IN023320100,23-02-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,24-02-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,25-02-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,26-02-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,27-02-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
